      category                      group split  precision   recall   f-beta
    occupation               Tech-support  test   0.631579 0.300000 0.406780
    occupation               Armed-Forces train   1.000000 1.000000 1.000000
    occupation               Armed-Forces  test   1.000000 1.000000 1.000000
  relationship              Not-in-family train   0.528986 0.327844 0.404806
  relationship              Not-in-family  test   0.700000 0.290954 0.411054
  relationship                    Husband train   0.826241 0.245366 0.378370
  relationship                    Husband  test   0.755556 0.272000 0.400000
  relationship             Other-relative train   0.333333 0.275862 0.301887
  relationship             Other-relative  test   0.916667 0.211538 0.343750
  relationship                  Unmarried train   0.532710 0.329480 0.407143
  relationship                  Unmarried  test   0.705882 0.313725 0.434389
  relationship                  Own-child train   0.188679 0.400000 0.256410
  relationship                  Own-child  test   0.732558 0.259259 0.382979
  relationship                       Wife train   0.773869 0.255814 0.384519
  relationship                       Wife  test   0.619048 0.146067 0.236364
          race                      White train   0.729301 0.258569 0.381780
          race                      White  test   0.732143 0.272325 0.396988
          race                      Black train   0.615942 0.263975 0.369565
          race                      Black  test   0.725490 0.264286 0.387435
          race         Asian-Pac-Islander train   0.703704 0.266355 0.386441
          race         Asian-Pac-Islander  test   0.666667 0.255319 0.369231
          race         Amer-Indian-Eskimo train   0.428571 0.230769 0.300000
          race         Amer-Indian-Eskimo  test   0.800000 0.250000 0.380952
          race                      Other train   0.400000 0.210526 0.275862
          race                      Other  test   0.500000 0.153846 0.235294
           sex                     Female train   0.546693 0.297040 0.384932
           sex                     Female  test   0.705882 0.266667 0.387097
           sex                       Male train   0.768614 0.252066 0.379632
           sex                       Male  test   0.740741 0.271581 0.397445
native-country              United-States train   0.718615 0.260460 0.382342
native-country              United-States  test   0.732448 0.273371 0.398143
native-country                          ? train   0.761905 0.278261 0.407643
native-country                          ?  test   0.750000 0.310345 0.439024
native-country                     Mexico train   0.500000 0.200000 0.285714
native-country                     Mexico  test   0.888889 0.275862 0.421053
native-country                Philippines train   0.769231 0.222222 0.344828
native-country                Philippines  test   0.500000 0.181818 0.266667
native-country                       Cuba train   1.000000 0.100000 0.181818
native-country                       Cuba  test   0.666667 0.285714 0.400000
native-country                   Columbia train   0.000000 0.000000 0.000000
native-country                   Columbia  test   1.000000 0.000000 0.000000
native-country                      Haiti train   0.000000 0.000000 0.000000
native-country                      Haiti  test   1.000000 0.000000 0.000000
native-country                      Italy train   0.666667 0.095238 0.166667
native-country                      Italy  test   1.000000 0.000000 0.000000
native-country                   Portugal train   0.000000 0.000000 0.000000
native-country                   Portugal  test   1.000000 0.000000 0.000000
native-country                El-Salvador train   0.666667 0.250000 0.363636
native-country                El-Salvador  test   1.000000 0.200000 0.333333
native-country                      India train   0.866667 0.406250 0.553191
native-country                      India  test   0.000000 0.000000 0.000000
native-country                    Ireland train   1.000000 0.000000 0.000000
native-country                    Ireland  test   1.000000 1.000000 1.000000
native-country                      South train   0.666667 0.428571 0.521739
native-country                      South  test   1.000000 0.000000 0.000000
native-country                    Vietnam train   0.400000 0.400000 0.400000
native-country                    Vietnam  test   0.500000 0.333333 0.400000
native-country                    Jamaica train   1.000000 0.200000 0.333333
native-country                    Jamaica  test   0.333333 0.333333 0.333333
native-country                   Cambodia train   0.500000 0.166667 0.250000
native-country                   Cambodia  test   1.000000 0.000000 0.000000
native-country                  Nicaragua train   1.000000 0.000000 0.000000
native-country                  Nicaragua  test   1.000000 0.500000 0.666667
native-country                       Peru train   1.000000 0.000000 0.000000
native-country                       Peru  test   0.500000 0.250000 0.333333
native-country                      China train   0.400000 0.166667 0.235294
native-country                      China  test   1.000000 0.000000 0.000000
native-country                     France train   1.000000 0.166667 0.285714
native-country                     France  test   0.000000 1.000000 0.000000
native-country         Dominican-Republic train   1.000000 0.500000 0.666667
native-country         Dominican-Republic  test   1.000000 0.250000 0.400000
native-country                   Thailand train   1.000000 0.000000 0.000000
native-country                   Thailand  test   1.000000 1.000000 1.000000
native-country                    England train   0.714286 0.192308 0.303030
native-country                    England  test   1.000000 0.200000 0.333333
native-country                     Canada train   0.666667 0.193548 0.300000
native-country                     Canada  test   1.000000 0.166667 0.285714
native-country                    Ecuador train   1.000000 0.500000 0.666667
native-country                    Ecuador  test   1.000000 0.000000 0.000000
native-country                    Germany train   0.833333 0.161290 0.270270
native-country                    Germany  test   1.000000 0.500000 0.666667
native-country                Puerto-Rico train   0.500000 0.333333 0.400000
native-country                Puerto-Rico  test   0.333333 0.166667 0.222222
native-country                   Scotland train   1.000000 0.333333 0.500000
native-country                   Scotland  test   1.000000 1.000000 1.000000
native-country                 Yugoslavia train   1.000000 0.166667 0.285714
native-country                 Yugoslavia  test   1.000000 0.000000 0.000000
native-country                      Japan train   1.000000 0.350000 0.518519
native-country                      Japan  test   1.000000 0.500000 0.666667
native-country                       Laos train   1.000000 0.000000 0.000000
native-country                       Laos  test   1.000000 0.000000 0.000000
native-country                     Taiwan train   0.800000 0.250000 0.380952
native-country                     Taiwan  test   1.000000 0.000000 0.000000
native-country                  Guatemala train   1.000000 0.333333 0.500000
native-country                  Guatemala  test   1.000000 0.000000 0.000000
native-country                     Greece train   0.666667 0.666667 0.666667
native-country                     Greece  test   1.000000 0.000000 0.000000
native-country                     Poland train   0.750000 0.300000 0.428571
native-country                     Poland  test   1.000000 0.000000 0.000000
native-country            Trinadad&Tobago train   0.500000 0.500000 0.500000
native-country            Trinadad&Tobago  test   1.000000 1.000000 1.000000
native-country                       Hong train   1.000000 0.000000 0.000000
native-country                       Hong  test   1.000000 1.000000 1.000000
native-country                       Iran train   0.833333 0.384615 0.526316
native-country                       Iran  test   1.000000 1.000000 1.000000
native-country Outlying-US(Guam-USVI-etc) train   1.000000 1.000000 1.000000
native-country Outlying-US(Guam-USVI-etc)  test   1.000000 0.500000 0.666667
native-country                   Honduras train   1.000000 1.000000 1.000000
native-country                   Honduras  test   1.000000 1.000000 1.000000
native-country                    Hungary train   0.000000 0.000000 0.000000
native-country                    Hungary  test   1.000000 0.000000 0.000000
native-country         Holand-Netherlands train   0.000000 1.000000 0.000000
native-country         Holand-Netherlands  test   1.000000 1.000000 1.000000
